grid,fm,key,algorithm,optimizer,lr,seed,checkpoint_dtype,acc_json,acc_archived,acc_checkpoint,n_diff_vs_archived,n_diff_vs_json,shift_vs_archived_pp,shift_vs_json_pp
central,UNI_v2,6544c0ee755e,central-tuned,adam,0.0003,2,torch.float16,0.9617575264442636,0.9617575264442636,0.9617575264442636,0,0,0.0,0.0
central,UNI_v2,7a5e541a0af3,central-tuned,sgd,0.03,0,torch.float16,0.96826688364524,0.96826688364524,0.96826688364524,0,0,0.0,0.0
central,UNI_v2,98562f13b475,central-legacy,adam,0.0003,2,torch.float16,0.9731489015459723,0.9731489015459723,0.9731489015459723,0,0,0.0,0.0
central,UNI_v2,9bc418b52c3e,central-tuned,adam,0.0003,1,torch.float16,0.9739625711960944,0.9739625711960944,0.9739625711960944,0,0,0.0,0.0
central,UNI_v2,a47bf903fe3f,central-tuned,adam,0.0001,0,torch.float16,0.9723352318958502,0.9723352318958502,0.9723352318958502,0,0,0.0,0.0
central,UNI_v2,a6ac97093c83,central-tuned,sgd,0.03,3,torch.float16,0.9617575264442636,0.9617575264442636,0.9617575264442636,0,0,0.0,0.0
central,UNI_v2,b1e942661064,central-tuned,sgd,0.03,2,torch.float16,0.9625711960943857,0.9625711960943857,0.9625711960943857,0,0,0.0,0.0
central,UNI_v2,b4f34f78ba6c,central-tuned,sgd,0.03,1,torch.float16,0.9617575264442636,0.9617575264442636,0.9617575264442636,0,0,0.0,0.0
central,UNI_v2,bdb32f1b3ffa,central-tuned,sgd,0.1,3,torch.float16,0.4548413344182262,0.45728234336859236,0.45402766476810413,9,4,-0.32546786004882255,-0.08136696501220841
central,UNI_v2,be91e69e1e65,central-tuned,adam,0.0001,4,torch.float16,0.9707078925956062,0.9707078925956062,0.9707078925956062,0,0,0.0,0.0
central,UNI_v2,c1a353d57a18,central-legacy,adam,0.0003,3,torch.float16,0.9715215622457283,0.9715215622457283,0.9715215622457283,0,0,0.0,0.0
central,UNI_v2,c5e352541666,central-tuned,adam,0.0001,1,torch.float16,0.967453213995118,0.967453213995118,0.967453213995118,0,0,0.0,0.0
central,UNI_v2,cbb4fea4424f,central-tuned,sgd,0.01,1,torch.float16,0.9641985353946297,0.9641985353946297,0.9641985353946297,0,0,0.0,0.0
central,UNI_v2,cd44b9ad65cc,central-tuned,sgd,0.003,1,torch.float16,0.9690805532953621,0.9690805532953621,0.9690805532953621,0,0,0.0,0.0
central,UNI_v2,dda9fd6f0e9b,central-tuned,sgd,0.1,4,torch.float16,0.515052888527258,0.5142392188771359,0.515052888527258,1,0,0.08136696501220841,0.0
central,UNI_v2,df23b186b720,central-tuned,sgd,0.1,1,torch.float16,0.47192839707078926,0.47192839707078926,0.47192839707078926,1,0,0.0,0.0
central,UNI_v2,f2908fa10284,central-tuned,adam,0.001,0,torch.float16,0.9666395443449959,0.9666395443449959,0.9666395443449959,0,0,0.0,0.0
central,UNI_v2,f811cec30d5e,central-tuned,adam,0.001,3,torch.float16,0.9650122050447518,0.9650122050447518,0.9650122050447518,0,0,0.0,0.0
central,UNI_v2,faa098860594,central-tuned,adam,0.0003,0,torch.float16,0.9723352318958502,0.9723352318958502,0.9723352318958502,0,0,0.0,0.0
main,Virchow2,0a193deaeab9,FedProx,adam,0.0003,0,torch.float16,0.886899918633035,0.886899918633035,0.886899918633035,0,0,0.0,0.0
main,Virchow2,0eb036fbf6f4,FedAvg,adam,0.0003,1,torch.float16,0.8966639544344996,0.8966639544344996,0.8966639544344996,0,0,0.0,0.0
main,Virchow2,0f79337e2ef8,FedProx,adam,0.0003,1,torch.float16,0.8982912937347437,0.8982912937347437,0.8982912937347437,0,0,0.0,0.0
main,Virchow2,301817e160ed,SCAFFOLD,adam,0.0003,0,torch.float16,0.6346623270951993,0.6354759967453214,0.6354759967453214,0,1,0.0,0.08136696501220841
main,Virchow2,3b6fbe47a777,FedProx,adam,0.0003,3,torch.float16,0.9259560618388935,0.9259560618388935,0.9259560618388935,0,0,0.0,0.0
main,Virchow2,40e1aa913b7b,FedAvg,adam,0.0003,0,torch.float16,0.8885272579332791,0.8885272579332791,0.8885272579332791,0,0,0.0,0.0
main,Virchow2,5c0f47490940,FedProx,adam,0.0003,2,torch.float16,0.8885272579332791,0.8885272579332791,0.8885272579332791,0,0,0.0,0.0
main,Virchow2,5ebcabd649f0,SCAFFOLD,adam,0.0003,1,torch.float16,0.7225386493083807,0.7225386493083807,0.7225386493083807,1,1,0.0,0.0
main,Virchow2,6343b811ad8c,SCAFFOLD,adam,0.0003,2,torch.float16,0.5760781122864117,0.5760781122864117,0.5768917819365338,1,1,0.08136696501220841,0.08136696501220841
main,Virchow2,7608fdc20f0d,FedProx,adam,0.0003,4,torch.float16,0.9048006509357202,0.9048006509357202,0.9048006509357202,0,0,0.0,0.0
main,Virchow2,8ff3d0bb92a5,FedAvg,adam,0.0003,3,torch.float16,0.8974776240846216,0.8974776240846216,0.8974776240846216,0,0,0.0,0.0
main,Virchow2,9548ae04f543,FedAvg,adam,0.0003,4,torch.float16,0.8665581773799838,0.8665581773799838,0.8673718470301057,1,1,0.08136696501219731,0.08136696501219731
