grid,fm,key,kind,algorithm,optimizer,lr,mu,k,sampling,partition,ft,arch,legacy_drop_last,protocol,seed,best_val,acc,bacc,f1,macro,train_macro,rounds,best_round,acc_json,bacc_json,f1_json,n_changed_predictions,acc_shift_pp,recall_LUAD,recall_PAAD
mu,Virchow2,015561a619a1,fl,FedProx,adam,0.0003,0.1,20,stratified,project_tss,raw,mlp,False,,2,0.902222216129303,0.8820179007323027,0.866989665015425,0.8689701729346712,0.8680952968467138,0.8680952968467138,158.0,108,0.8820179007323027,0.866989665015425,0.8689701729346712,0,0.0,1.0,0.8048780487804879
mu,Virchow2,09b083bcc680,fl,FedProx,adam,0.0003,0.001,20,stratified,project_tss,raw,mlp,False,,3,0.9088889360427856,0.8893409275834011,0.8815753288687704,0.8794832066457734,0.8745430961040078,0.8745430961040078,238.0,188,0.8893409275834011,0.8815753288687704,0.8794832066457734,0,0.0,0.9916666666666667,0.9024390243902439
mu,Virchow2,0b3668a85d16,fl,FedProx,adam,0.0003,0.001,20,stratified,project_tss,raw,mlp,False,,4,0.8644444942474365,0.8112286411716843,0.7422521730394744,0.713688392981473,0.7841922834409129,0.7841922834409129,106.0,56,0.8112286411716843,0.7422521730394744,0.713688392981473,0,0.0,0.9583333333333334,0.024390243902439025
mu,Virchow2,3231d7fa6d2a,fl,FedProx,adam,0.0003,1.0,20,stratified,project_tss,raw,mlp,False,,1,0.9311111569404602,0.9129373474369405,0.9028674521011022,0.9015218466127782,0.9013097768160074,0.9013097768160074,301.0,251,0.9129373474369405,0.9028674521011022,0.9015218466127782,0,0.0,0.9916666666666667,0.8780487804878049
mu,Virchow2,354380948ba4,fl,FedProx,adam,0.0003,0.001,20,stratified,project_tss,raw,mlp,False,,1,0.9133333563804626,0.8860862489829129,0.8646197294744287,0.8621825749597778,0.8730723105087754,0.8730723105087754,226.0,176,0.8860862489829129,0.8646197294744287,0.8621825749597778,0,0.0,0.9583333333333334,0.7560975609756098
mu,Virchow2,51a77fb721ed,fl,FedProx,adam,0.0003,0.1,20,stratified,project_tss,raw,mlp,False,,4,0.9377778172492981,0.9088689991863304,0.8992463985407425,0.8953571944693189,0.9014096557587294,0.9014096557587294,303.0,253,0.9088689991863304,0.8992463985407425,0.8953571944693189,0,0.0,0.9833333333333333,0.9024390243902439
mu,Virchow2,614e6ac48bb2,fl,FedProx,adam,0.0003,1.0,20,stratified,project_tss,raw,mlp,False,,3,0.9155555963516235,0.8893409275834011,0.8760494836302879,0.8696279748201553,0.8837938939328512,0.8837938939328512,207.0,157,0.8893409275834011,0.8760494836302879,0.8696279748201553,0,0.0,0.9583333333333334,0.9024390243902439
mu,Virchow2,6617e21b4aa0,fl,FedProx,adam,0.0003,1.0,20,stratified,project_tss,raw,mlp,False,,2,0.9288889169692993,0.903173311635476,0.8980477913357069,0.8924072760815661,0.9031774098752293,0.9031774098752293,324.0,274,0.903173311635476,0.8980477913357069,0.8924072760815661,0,0.0,0.9916666666666667,0.9024390243902439
mu,Virchow2,6cf866b64bb5,fl,FedProx,adam,0.0003,0.001,20,stratified,project_tss,raw,mlp,False,,0,0.9377778172492981,0.9104963384865744,0.8987294899298184,0.9013091547903217,0.899798557730186,0.899798557730186,319.0,269,0.9104963384865744,0.8987294899298184,0.9013091547903217,0,0.0,0.9916666666666667,0.9024390243902439
mu,Virchow2,aa8bf74217fd,fl,FedProx,adam,0.0003,0.001,20,stratified,project_tss,raw,mlp,False,,2,0.9088889360427856,0.8803905614320586,0.8695890904152452,0.8627969132302814,0.8702135444545996,0.8702135444545996,164.0,114,0.8812042310821806,0.8704372668359408,0.8636863735144071,1,-0.08136696501219731,0.9833333333333333,0.7804878048780488
