cancer,fm,mode,lr,val,c
STAD,Midnight12k,fl,0.001,0.46378737541528237,0.5188755020080322
STAD,Midnight12k,fl_legacy_restore,0.0003,-1.0,0.5301204819277109
STAD,Phikon_v2,central,0.0001,0.6046511627906976,0.5502008032128514
STAD,Phikon_v2,central,0.0003,0.6139534883720931,0.5402180149168101
STAD,Phikon_v2,central,0.001,0.6671096345514951,0.5219736087205967
STAD,Phikon_v2,central_legacy,0.0003,-1.0,0.5518072289156627
STAD,Phikon_v2,central_strat,0.0001,0.583388704318937,0.5562822719449225
STAD,Phikon_v2,central_strat,0.0003,0.6059800664451828,0.5371199082042455
STAD,Phikon_v2,central_strat,0.001,0.6352159468438539,0.5491681009753299
STAD,Phikon_v2,fl,0.0001,0.5946843853820598,0.5530694205393001
STAD,Phikon_v2,fl,0.0003,0.5800664451827242,0.5677567412507172
STAD,Phikon_v2,fl,0.001,0.6066445182724253,0.5559380378657488
STAD,Phikon_v2,fl_legacy_restore,0.0003,-1.0,0.5394148020654045
STAD,ResNet50,central,0.0001,0.6372093023255814,0.5435456110154906
STAD,ResNet50,central,0.0003,0.6372093023255814,0.5450372920252439
STAD,ResNet50,central,0.001,0.6458471760797342,0.5472174411933448
STAD,ResNet50,central_legacy,0.0003,-1.0,0.5471026965002869
STAD,ResNet50,central_strat,0.0001,0.5083056478405316,0.5178427997705106
STAD,ResNet50,central_strat,0.0003,0.5960132890365448,0.5601835915088926
STAD,ResNet50,central_strat,0.001,0.5980066445182725,0.5569707401032702
STAD,ResNet50,fl,0.0001,0.4970099667774086,0.5098106712564544
STAD,ResNet50,fl,0.0003,0.586046511627907,0.5602983362019506
STAD,ResNet50,fl,0.001,0.5940199335548173,0.5586919104991395
STAD,ResNet50,fl_legacy_restore,0.0003,-1.0,0.4812392426850258
STAD,UNI_v2,central,0.0001,0.573421926910299,0.6076878944348824
STAD,UNI_v2,central,0.0003,0.5946843853820598,0.5983935742971888
STAD,UNI_v2,central,0.001,0.6312292358803987,0.6013769363166954
STAD,UNI_v2,central_legacy,0.0003,-1.0,0.6091222030981067
STAD,UNI_v2,central_strat,0.0001,0.5534883720930233,0.5731497418244407
STAD,UNI_v2,central_strat,0.0003,0.5966777408637873,0.542512908777969
STAD,UNI_v2,central_strat,0.001,0.5953488372093023,0.5671830177854275
STAD,UNI_v2,fl,0.0001,0.5534883720930233,0.5803786574870913
STAD,UNI_v2,fl,0.0003,0.5720930232558139,0.6
STAD,UNI_v2,fl,0.001,0.5880398671096346,0.6025243832472749
STAD,UNI_v2,fl_legacy_restore,0.0003,-1.0,0.5173838209982788
STAD,Virchow2,central,0.0001,0.5508305647840531,0.642570281124498
STAD,Virchow2,central,0.0003,0.5561461794019934,0.6416523235800344
STAD,Virchow2,central,0.001,0.5863787375415282,0.6064830751577739
